id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
1,closed,josh,employee,probablycorey,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10,closed,nathansobo,employee,null,volunter,124,0,null,null,null,"(30,180]",NA,NA,NA
100,closed,probablycorey,employee,null,volunter,104,27,1,0,102,"(30,180]","(0,1]",NA,"(30,180]"
1000,closed,mcolyer,employee,mcolyer,employee,4,2,0,2,1,"(1,30]",NA,"(1,30]","(0,1]"
10004,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,2,0,0,0,NA,NA,NA,NA
1001,closed,probablycorey,employee,probablycorey,employee,2,8,2,0,0,"(1,30]","(1,30]",NA,NA
10017,closed,as-cii,employee,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
10027,closed,nathansobo,employee,as-cii,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
10028,closed,nathansobo,employee,as-cii,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
1003,closed,zcbenz,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
10031,closed,lee-dohm,employee,lee-dohm,employee,3,2,0,0,3,"(1,30]",NA,NA,"(1,30]"
1004,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10062,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
10068,closed,lee-dohm,employee,lee-dohm,employee,34,0,null,null,null,"(30,180]",NA,NA,NA
10084,closed,as-cii,employee,as-cii,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
10095,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
1011,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1012,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10126,closed,as-cii,employee,as-cii,employee,16,0,null,null,null,"(1,30]",NA,NA,NA
10171,closed,kuychaco,employee,null,volunter,17,8,0,0,16,"(1,30]",NA,NA,"(1,30]"
10178,closed,kuychaco,employee,nathansobo,employee,14,0,null,null,null,"(1,30]",NA,NA,NA
1018,closed,gjtorikian,employee,null,volunter,102,0,null,null,null,"(30,180]",NA,NA,NA
1019,closed,mcolyer,employee,mcolyer,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
1020,closed,probablycorey,employee,probablycorey,employee,1,13,1,0,0,"(0,1]","(0,1]",NA,NA
1021,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
1023,closed,mcolyer,employee,mcolyer,employee,0,0,null,null,null,NA,NA,NA,NA
10233,closed,joshaber,employee,joshaber,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
10236,closed,joshaber,employee,joshaber,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
10247,closed,joshaber,employee,joshaber,employee,0,0,null,null,null,NA,NA,NA,NA
10249,closed,joshaber,employee,joshaber,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
10277,closed,nathansobo,employee,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
1028,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10282,closed,as-cii,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10292,closed,as-cii,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10293,closed,as-cii,employee,joshaber,employee,16,0,null,null,null,"(1,30]",NA,NA,NA
10310,closed,kuychaco,employee,kuychaco,employee,0,0,null,null,null,NA,NA,NA,NA
1032,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10327,closed,joshaber,employee,joshaber,employee,0,0,null,null,null,NA,NA,NA,NA
10328,closed,lee-dohm,employee,lee-dohm,employee,0,0,null,null,null,NA,NA,NA,NA
1033,closed,probablycorey,employee,probablycorey,employee,0,0,null,null,null,NA,NA,NA,NA
10332,closed,lee-dohm,employee,mnquintana,volunter,0,2,0,0,0,NA,NA,NA,NA
1035,closed,mcolyer,employee,mcolyer,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
1037,closed,probablycorey,employee,probablycorey,employee,2,3,0,0,2,"(1,30]",NA,NA,"(1,30]"
10375,closed,joshaber,employee,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
10377,closed,joshaber,employee,joshaber,employee,1,1,0,0,1,"(0,1]",NA,NA,"(0,1]"
10379,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
1038,closed,probablycorey,employee,probablycorey,employee,2,6,0,2,0,"(1,30]",NA,"(1,30]",NA
1039,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
10395,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
