id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
1446,open,rianadon,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1445,open,Place1,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1442,open,TimvdLippe,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1441,closed,bestony,volunter,bestony,volunter,27,1,0,27,0,"(1,30]",NA,"(1,30]",NA
1440,open,lrosser,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1439,open,teonivalois,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1438,open,jaydhary14,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1436,open,rektide,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1435,closed,PEPEInvest,volunter,mose,volunter,0,0,null,null,null,NA,NA,NA,NA
1434,closed,kavya05,volunter,kavya05,volunter,5,2,0,0,4,"(1,30]",NA,NA,"(1,30]"
1433,open,tedsc,volunter,null,volunter,null,3,46,0,null,NA,"(30,180]",NA,NA
1432,open,meirinaldojunior,volunter,null,volunter,null,2,0,28,null,NA,NA,"(1,30]",NA
1431,open,strowk,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1430,open,kavya05,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1424,open,napiera,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1423,open,zhengsh,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1422,open,vivekpatani,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1421,closed,ileathan,volunter,mose,volunter,2,2,2,0,0,"(1,30]","(1,30]",NA,NA
1420,open,inkWave,volunter,null,volunter,null,1,0,38,null,NA,NA,"(30,180]",NA
1419,open,orlando9006,volunter,null,volunter,null,1,0,39,null,NA,NA,"(30,180]",NA
1417,closed,yujmo,volunter,yujmo,volunter,0,1,0,0,0,NA,NA,NA,NA
1159,closed,khoi-thinh,volunter,khoi-thinh,volunter,6,21,6,0,0,"(1,30]","(1,30]",NA,NA
1158,closed,mklemme,volunter,bkeepers,employee,402,2,396,6,0,"(365,Inf]","(365,Inf]","(1,30]",NA
1157,closed,khoi-thinh,volunter,khoi-thinh,volunter,7,6,4,0,2,"(1,30]","(1,30]",NA,"(1,30]"
