user,hash,date,site_admin,day_of_week,period_of_day
pseudomuto,26455f9be7e7c40ff849e73cd8a492b18fbf664b,2013-08-15T14:09:52Z,FALSE,quinta-feira,"(7,8]"
seldaek,a9b4e1c662e28f64c43da8a1285cada16aa43aa1,2012-08-18T19:04:13Z,FALSE,sábado,"(12,13]"
unok,2dc16f6f7f24c6ba62d5ba5c52ccb72e2d7c7ad2,2014-09-18T09:59:35Z,FALSE,quinta-feira,"(2,3]"
theironmarx,ae5369e3160f7807cdfca6ddfeefed6676cc148b,2014-11-07T16:38:04Z,FALSE,sexta-feira,"(8,9]"
theironmarx,5ffcc7fd28c863b2c3886d60561acc360e8a7fcd,2014-11-07T16:38:04Z,FALSE,sexta-feira,"(8,9]"
zachmorek,59a7851b549f401c2c6dcf1ec2b34a4aec41d610,2013-03-29T18:50:51Z,FALSE,sexta-feira,"(11,12]"
zakariazajac,aa800c948b7c343caec8dc79312cf334265eae4e,2011-11-13T16:12:20Z,FALSE,domingo,"(8,9]"
todd,9740039c449e2a485c912ba87514186c516d6359,2015-02-14T18:00:27Z,FALSE,sábado,"(10,11]"
todd,807c9bd74673030ed66b94de712924b9fe084d19,2014-12-22T20:43:23Z,FALSE,segunda-feira,"(12,13]"
todd,ce2f504d485767dffc7beb4c0f0edfaff8e70e8a,2014-12-21T18:53:58Z,FALSE,domingo,"(10,11]"
kch,bbfd7ddc9322c4e6f69854133a0238c0e1adb06d,2013-04-23T09:52:01Z,FALSE,terça-feira,"(2,3]"
reedlipman,841dde33a7cff56fc9aa577b7e0c3651e7d95014,2012-10-24T18:49:21Z,FALSE,quarta-feira,"(11,12]"
jbosse,918efdf3825646b5f9132e5afb26e073b64232ee,2017-05-13T18:50:14Z,FALSE,sábado,"(11,12]"
tfausak,ff384dec1ed57349a0baf54dd76b3bd8ac24ab4c,2013-06-08T22:30:44Z,FALSE,sábado,"(15,16]"
cesar-zz,ecf1eb93d42f4aa79eb5423fe3b26492db891527,2011-10-26T12:04:37Z,FALSE,quarta-feira,"(5,6]"
cesar-zz,55d3b42b6bc5fee9e963fc17250f879e0399a475,2011-10-26T11:26:32Z,FALSE,quarta-feira,"(4,5]"
cesar-zz,29792ddf3b3ecf1416e8c61919ac762400cd33a7,2011-10-26T09:59:53Z,FALSE,quarta-feira,"(2,3]"
cesar-zz,79df1b93270c0eda06e8edd3431bb653c18fb7ce,2011-10-26T10:28:47Z,FALSE,quarta-feira,"(3,4]"
uugengiven,7d4487b8d6d4aff434d7a3cb0dc4f214e0390d1d,2015-06-23T01:20:52Z,FALSE,terça-feira,"(18,19]"
uugengiven,d18ca54c4ed703051d786f89ce1e04dd91db8639,2015-06-16T02:07:10Z,FALSE,terça-feira,"(19,20]"
uugengiven,eb9f78d90095836adfa6501cc36ca6666c5dffab,2015-06-15T20:44:07Z,FALSE,segunda-feira,"(13,14]"
uugengiven,ac78f8d8e5b73c6a60ee354e04c56cd231bf7e36,2015-06-15T20:44:07Z,FALSE,segunda-feira,"(13,14]"
uugengiven,59b4b8ac18471366772139c2e81a830546b967d3,2015-07-18T18:51:30Z,FALSE,sábado,"(11,12]"
uugengiven,38e15e52035ef8d4ffd7c80f6deea63fee16593c,2015-06-22T23:24:48Z,FALSE,segunda-feira,"(16,17]"
uugengiven,f99c926ce4e01d6ec016a1b89eb63177912fc6bb,2015-06-15T20:49:40Z,FALSE,segunda-feira,"(13,14]"
uugengiven,71dbb24a761e2617ac86980a63b42d6952c90673,2015-06-22T23:35:09Z,FALSE,segunda-feira,"(16,17]"
uugengiven,51c8475f21462d4f5c02edc953752dfec5a2c590,2015-06-15T20:51:09Z,FALSE,segunda-feira,"(13,14]"
iangreenleaf,fd1a41429309cedad24663739fe655bd2aade03a,2012-04-17T18:56:13Z,FALSE,terça-feira,"(11,12]"
thomaschaaf,8a735b87b864bcabb3feb6967a7f74a0e442a752,2012-02-12T21:10:05Z,FALSE,domingo,"(13,14]"
vinbarnes,7821896f16d5a5da8c5b5279e9ba620d0171d411,2014-01-08T17:15:59Z,FALSE,quarta-feira,"(9,10]"
ta1kt0me,278ee5f0ba298a48a308443c14c6a12dad06fc2f,2015-05-09T14:20:11Z,FALSE,sábado,"(7,8]"
cannikin,d0b1369bdd5d7e0007040faab0e9dd699b662224,2013-10-16T23:44:21Z,FALSE,quarta-feira,"(16,17]"
vanetix,45b507c52a74bb9f0202cfd4122cee48f36facc5,2013-09-10T21:08:18Z,FALSE,terça-feira,"(14,15]"
petedmarsh,d25c0b78d00bc7f86a17a648ab10b4f895259ea9,2015-04-29T20:08:13Z,FALSE,quarta-feira,"(13,14]"
ksatirli,5361542c6218fc2ed6b246390f6aeeb4c3b03079,2016-10-28T14:00:03Z,FALSE,sexta-feira,"(7,8]"
ksatirli,43ddadd096130b4ea98fd00313f06ff599a9d776,2016-10-28T13:39:30Z,FALSE,sexta-feira,"(6,7]"
futuraprime,702b51871424eef244d5452f635845f0eb08d658,2012-07-30T21:24:37Z,FALSE,segunda-feira,"(14,15]"
100ideas,4f6ed712301a9fbc9eead702ca60c0e965cc60fd,2015-03-17T23:54:13Z,FALSE,terça-feira,"(16,17]"
100ideas,54adacf3122f248cf0febced388a760d9478e38b,2015-03-17T21:40:11Z,FALSE,terça-feira,"(14,15]"
davereid,c6f31cc3caf51cf5b60da3ec3efebdcf3dd45104,2013-12-20T03:32:36Z,FALSE,sexta-feira,"(19,20]"
loafoe,63d9dc6ba83f2141dce6439f45545c0aaef9dc34,2016-03-19T17:24:42Z,FALSE,sábado,"(10,11]"
mizzy,9b788ba946f45b2d01a087b7cf268a1c92922a78,2013-06-10T06:34:15Z,FALSE,segunda-feira,"(23,24]"
