id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
3434,closed,kevinsawicki,employee,zcbenz,employee,12,1,0,2,10,"(1,30]",NA,"(1,30]","(1,30]"
3419,closed,nathansobo,employee,zcbenz,employee,20,1,0,20,0,"(1,30]",NA,"(1,30]",NA
3375,closed,kevinsawicki,employee,kevinsawicki,employee,312,3,69,242,0,"(180,365]","(30,180]","(180,365]",NA
12057,closed,jkleinsc,employee,jkleinsc,employee,9,17,9,0,0,"(1,30]","(1,30]",NA,NA
12050,closed,ckerr,employee,codebytere,employee,8,3,6,0,1,"(1,30]","(1,30]",NA,"(0,1]"
3367,closed,zeke,employee,zcbenz,employee,15,1,0,22,7,"(1,30]",NA,"(1,30]","(1,30]"
3225,closed,nathansobo,employee,zcbenz,employee,20,12,46,0,25,"(1,30]","(30,180]",NA,"(1,30]"
3211,open,zcbenz,employee,codebytere,employee,null,10,407,401,null,NA,"(365,Inf]","(365,Inf]",NA
3210,closed,zcbenz,employee,zcbenz,employee,192,0,null,null,null,"(180,365]",NA,NA,NA
3114,closed,maxbrunsfeld,employee,zcbenz,employee,202,2,49,152,0,"(180,365]","(30,180]","(30,180]",NA
3032,closed,zcbenz,employee,zcbenz,employee,2,5,0,1,0,"(1,30]",NA,"(0,1]",NA
12006,closed,zeke,employee,jkleinsc,employee,0,4,0,0,0,NA,NA,NA,NA
2808,closed,maxbrunsfeld,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
2617,open,nathansobo,employee,null,volunter,null,12,958,0,null,NA,"(365,Inf]",NA,NA
2605,closed,zcbenz,employee,codebytere,employee,882,4,545,418,81,"(365,Inf]","(365,Inf]","(365,Inf]","(30,180]"
2544,closed,zcbenz,employee,zcbenz,employee,84,6,4,0,79,"(30,180]","(1,30]",NA,"(30,180]"
2475,closed,zcbenz,employee,zcbenz,employee,12,12,12,0,0,"(1,30]","(1,30]",NA,NA
2442,closed,nathansobo,employee,zcbenz,employee,0,6,0,0,0,NA,NA,NA,NA
11949,open,ckerr,employee,null,volunter,null,4,45,0,null,NA,"(30,180]",NA,NA
11939,closed,ckerr,employee,codebytere,employee,1,1,0,1,0,"(0,1]",NA,"(0,1]",NA
2127,closed,zcbenz,employee,zcbenz,employee,1,1,0,0,1,"(0,1]",NA,NA,"(0,1]"
1861,closed,max,employee,zcbenz,employee,326,19,323,0,3,"(180,365]","(180,365]",NA,"(1,30]"
1851,closed,zcbenz,employee,zcbenz,employee,78,9,78,0,0,"(30,180]","(30,180]",NA,NA
1795,closed,nathansobo,employee,zcbenz,employee,26,3,25,0,0,"(1,30]","(1,30]",NA,NA
1652,closed,kevinsawicki,employee,zcbenz,employee,8,2,0,0,7,"(1,30]",NA,NA,"(1,30]"
1638,closed,zcbenz,employee,zcbenz,employee,25,1,0,929,903,"(1,30]",NA,"(365,Inf]","(365,Inf]"
1605,closed,zcbenz,employee,zcbenz,employee,46,2,21,0,24,"(30,180]","(1,30]",NA,"(1,30]"
1488,closed,zcbenz,employee,maxogden,volunter,53,3,52,0,0,"(30,180]","(30,180]",NA,NA
1485,closed,kevinsawicki,employee,kevinsawicki,employee,301,1,0,301,0,"(180,365]",NA,"(180,365]",NA
1468,closed,nathansobo,employee,zcbenz,employee,125,6,123,1,0,"(30,180]","(30,180]","(0,1]",NA
1432,closed,kevinsawicki,employee,zcbenz,employee,8,1,0,3,4,"(1,30]",NA,"(1,30]","(1,30]"
1390,closed,kevinsawicki,employee,zcbenz,employee,14,1,0,14,0,"(1,30]",NA,"(1,30]",NA
1348,closed,kevinsawicki,employee,zcbenz,employee,19,15,140,0,121,"(1,30]","(30,180]",NA,"(30,180]"
1185,closed,zcbenz,employee,zcbenz,employee,23,0,null,null,null,"(1,30]",NA,NA,NA
1111,closed,kevinsawicki,employee,zcbenz,employee,1,1,0,1,0,"(0,1]",NA,"(0,1]",NA
1105,closed,kevinsawicki,employee,zcbenz,employee,37,2,436,14,413,"(30,180]","(365,Inf]","(1,30]","(365,Inf]"
1101,closed,zcbenz,employee,zcbenz,employee,50,3,406,47,403,"(30,180]","(365,Inf]","(30,180]","(365,Inf]"
1084,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1078,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
1072,closed,nathansobo,employee,zcbenz,employee,31,13,31,0,0,"(30,180]","(30,180]",NA,NA
1071,closed,zcbenz,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
11816,open,ckerr,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
11800,open,shiftkey,employee,null,volunter,null,1,0,0,null,NA,NA,NA,NA
979,closed,zcbenz,employee,zcbenz,employee,10,2,4,5,0,"(1,30]","(1,30]","(1,30]",NA
975,closed,zcbenz,employee,zcbenz,employee,183,0,null,null,null,"(180,365]",NA,NA,NA
948,closed,zcbenz,employee,zcbenz,employee,14,0,null,null,null,"(1,30]",NA,NA,NA
843,closed,kevinsawicki,employee,zcbenz,employee,14,3,10,3,0,"(1,30]","(1,30]","(1,30]",NA
825,closed,kevinsawicki,employee,zcbenz,employee,2,3,2,0,0,"(1,30]","(1,30]",NA,NA
811,closed,probablycorey,employee,zcbenz,employee,2,3,153,2,153,"(1,30]","(30,180]","(1,30]","(30,180]"
809,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
808,closed,kevinsawicki,employee,zcbenz,employee,1,2,0,0,0,"(0,1]",NA,NA,NA
