id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
100,closed,technoweenie,volunter,technoweenie,volunter,4,0,null,null,null,"(1,30]",NA,NA,NA
1006,closed,technoweenie,volunter,technoweenie,volunter,6,0,null,null,null,"(1,30]",NA,NA,NA
1007,closed,jlehtnie,volunter,technoweenie,volunter,52,9,42,7,2,"(30,180]","(30,180]","(1,30]","(1,30]"
1008,closed,rlaakkol,volunter,null,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
101,closed,technoweenie,volunter,technoweenie,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
1012,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1016,closed,technoweenie,volunter,technoweenie,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1017,closed,technoweenie,volunter,technoweenie,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1019,closed,bradh,volunter,null,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1023,closed,technoweenie,volunter,technoweenie,volunter,0,2,0,0,0,NA,NA,NA,NA
1024,closed,sinbad,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1025,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1026,closed,technoweenie,volunter,technoweenie,volunter,37,0,null,null,null,"(30,180]",NA,NA,NA
1027,closed,technoweenie,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1028,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1030,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1036,closed,technoweenie,volunter,null,volunter,43,0,null,null,null,"(30,180]",NA,NA,NA
1037,closed,technoweenie,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1038,closed,technoweenie,volunter,null,volunter,15,3,0,0,14,"(1,30]",NA,NA,"(1,30]"
1039,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1040,closed,technoweenie,volunter,null,volunter,41,8,14,0,26,"(30,180]","(1,30]",NA,"(1,30]"
1042,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1045,closed,andyneff,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1048,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
105,closed,technoweenie,volunter,rubyist,employee,0,0,null,null,null,NA,NA,NA,NA
1051,closed,sinbad,volunter,sinbad,volunter,1,3,0,0,0,"(0,1]",NA,NA,NA
1054,closed,technoweenie,volunter,technoweenie,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1058,closed,steffix0168,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1060,closed,miumok98,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1067,closed,sinbad,volunter,sinbad,volunter,6,10,0,0,6,"(1,30]",NA,NA,"(1,30]"
1070,closed,sinbad,volunter,sinbad,volunter,4,0,null,null,null,"(1,30]",NA,NA,NA
1071,closed,technoweenie,volunter,technoweenie,volunter,25,8,2,0,22,"(1,30]","(1,30]",NA,"(1,30]"
1076,closed,javabrett,volunter,technoweenie,volunter,30,0,null,null,null,"(1,30]",NA,NA,NA
1078,closed,epriestley,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1079,closed,technoweenie,volunter,null,volunter,15,0,null,null,null,"(1,30]",NA,NA,NA
1080,closed,sinbad,volunter,sinbad,volunter,0,0,null,null,null,NA,NA,NA,NA
1081,closed,sinbad,volunter,sinbad,volunter,0,0,null,null,null,NA,NA,NA,NA
1082,closed,epriestley,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1083,closed,epriestley,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1084,closed,epriestley,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1085,closed,epriestley,volunter,null,volunter,150,3,35,0,115,"(30,180]","(30,180]",NA,"(30,180]"
1087,closed,epriestley,volunter,sinbad,volunter,0,0,null,null,null,NA,NA,NA,NA
1091,closed,sinbad,volunter,sinbad,volunter,4,1,0,0,4,"(1,30]",NA,NA,"(1,30]"
1093,closed,anatolyborodin,volunter,sinbad,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1094,closed,anatolyborodin,volunter,sinbad,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1096,closed,epriestley,volunter,sinbad,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1102,closed,javabrett,volunter,technoweenie,volunter,8,0,null,null,null,"(1,30]",NA,NA,NA
1103,closed,javabrett,volunter,null,volunter,8,0,null,null,null,"(1,30]",NA,NA,NA
1104,closed,sinbad,volunter,sinbad,volunter,13,1,0,13,0,"(1,30]",NA,"(1,30]",NA
1105,closed,sschuberth,volunter,technoweenie,volunter,16,0,null,null,null,"(1,30]",NA,NA,NA
1106,closed,chittunoo,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1107,closed,sinbad,volunter,sinbad,volunter,0,0,null,null,null,NA,NA,NA,NA
1115,closed,javabrett,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1117,closed,artagnon,volunter,null,volunter,134,7,0,11,122,"(30,180]",NA,"(1,30]","(30,180]"
1118,closed,sinbad,volunter,sinbad,volunter,4,3,4,0,0,"(1,30]","(1,30]",NA,NA
1122,closed,rjbell4,volunter,technoweenie,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1127,closed,technoweenie,volunter,technoweenie,volunter,6,0,null,null,null,"(1,30]",NA,NA,NA
1128,closed,technoweenie,volunter,technoweenie,volunter,1,11,1,0,0,"(0,1]","(0,1]",NA,NA
113,closed,technoweenie,volunter,technoweenie,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1130,closed,javabrett,volunter,technoweenie,volunter,7,0,null,null,null,"(1,30]",NA,NA,NA
1133,closed,sinbad,volunter,null,volunter,132,7,3,0,128,"(30,180]","(1,30]",NA,"(30,180]"
1134,closed,sinbad,volunter,technoweenie,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
1136,closed,technoweenie,volunter,technoweenie,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
114,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1141,closed,nirgeier,volunter,null,volunter,5,0,null,null,null,"(1,30]",NA,NA,NA
1143,closed,strich,volunter,technoweenie,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1144,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1145,closed,technoweenie,volunter,technoweenie,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1146,closed,pascalberger,volunter,technoweenie,volunter,85,0,null,null,null,"(30,180]",NA,NA,NA
1147,closed,pabloguerrero,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1149,closed,javabrett,volunter,technoweenie,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
115,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1154,closed,larsxschneider,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1158,closed,technoweenie,volunter,sinbad,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
1160,closed,sinbad,volunter,sinbad,volunter,5,2,0,0,5,"(1,30]",NA,NA,"(1,30]"
1162,closed,larsxschneider,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1168,closed,sinbad,volunter,sinbad,volunter,0,0,null,null,null,NA,NA,NA,NA
1170,closed,graingert,volunter,technoweenie,volunter,0,0,null,null,null,NA,NA,NA,NA
1176,closed,javabrett,volunter,technoweenie,volunter,87,0,null,null,null,"(30,180]",NA,NA,NA
