id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
14164,closed,matthewwithanm,volunter,maxbrunsfeld,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
14177,closed,matthewwithanm,volunter,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
14178,closed,matthewwithanm,volunter,as-cii,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
142,closed,adelcambre,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14203,closed,matthewwithanm,volunter,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
14205,closed,matthewwithanm,volunter,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
14210,closed,matthewwithanm,volunter,maxbrunsfeld,employee,2,2,0,0,2,"(1,30]",NA,NA,"(1,30]"
14217,closed,edjubuh,volunter,as-cii,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
14221,closed,matthewwithanm,volunter,maxbrunsfeld,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
14225,open,TETRA2000,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14243,closed,shanept,volunter,null,volunter,184,0,null,null,null,"(180,365]",NA,NA,NA
14249,closed,50Wliu,volunter,50Wliu,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
14254,open,jamiebuilds,volunter,null,volunter,null,1,0,1,null,NA,NA,"(0,1]",NA
14262,closed,nikselite,volunter,null,volunter,31,0,null,null,null,"(30,180]",NA,NA,NA
14271,closed,damieng,volunter,damieng,volunter,0,2,0,0,0,NA,NA,NA,NA
14287,closed,damieng,volunter,damieng,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
14302,open,hidefromkgb,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14313,closed,flexiondotorg,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14320,closed,hansonw,volunter,as-cii,employee,0,0,null,null,null,NA,NA,NA,NA
14324,open,cpaderbarosch-tgm,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14330,open,sindresorhus,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14348,open,hansonw,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14349,open,bolinfest,volunter,null,volunter,null,1,0,0,null,NA,NA,NA,NA
14355,closed,NicolasHov,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14375,closed,matthewwithanm,volunter,maxbrunsfeld,employee,31,0,null,null,null,"(30,180]",NA,NA,NA
14385,closed,mnquintana,volunter,null,volunter,336,6,0,1,334,"(180,365]",NA,"(0,1]","(180,365]"
14393,closed,torn4dom4n,volunter,BinaryMuse,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
144,closed,derekgr,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14403,closed,matthewwithanm,volunter,as-cii,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
14405,closed,iamadarshkumar,volunter,null,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
14413,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
14419,closed,Positive07,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
14420,closed,matthewwithanm,volunter,iolsen,employee,8,0,null,null,null,"(1,30]",NA,NA,NA
14421,closed,Positive07,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14427,closed,hansonw,volunter,iolsen,employee,7,0,null,null,null,"(1,30]",NA,NA,NA
14428,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
14432,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
14444,open,hultberg,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14456,closed,Xapphire13,volunter,null,volunter,133,2,0,54,79,"(30,180]",NA,"(30,180]","(30,180]"
14458,open,trestoa,volunter,null,volunter,null,2,0,0,null,NA,NA,NA,NA
14492,closed,mrngoitall,volunter,lee-dohm,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
14495,closed,warrenpnz,volunter,iolsen,employee,116,3,0,11,104,"(30,180]",NA,"(1,30]","(30,180]"
14513,closed,adammertzenich,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1457,closed,shama,volunter,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
14634,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
14654,closed,UziTech,volunter,rsese,employee,117,0,null,null,null,"(30,180]",NA,NA,NA
14665,closed,richcocoa,volunter,null,volunter,285,0,null,null,null,"(180,365]",NA,NA,NA
14682,closed,paulcbetts,volunter,as-cii,employee,76,0,null,null,null,"(30,180]",NA,NA,NA
14690,closed,damieng,volunter,damieng,volunter,41,0,null,null,null,"(30,180]",NA,NA,NA
14691,closed,CoolAppsDev,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
14700,closed,paulcbetts,volunter,null,volunter,22,0,null,null,null,"(1,30]",NA,NA,NA
