id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
1000,closed,J-tt,volunter,null,volunter,15,0,null,null,null,"(1,30]",NA,NA,NA
1003,closed,sdimkov,volunter,technicalpickles,employee,50,0,null,null,null,"(30,180]",NA,NA,NA
1004,closed,sdimkov,volunter,technicalpickles,employee,11,1,0,0,11,"(1,30]",NA,NA,"(1,30]"
1006,closed,jennifersmith,volunter,michaelansel,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1007,closed,MyvarHD,volunter,michaelansel,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
101,closed,allanca,volunter,null,volunter,0,6,3,0,2,NA,"(1,30]",NA,"(1,30]"
1011,closed,sdimkov,volunter,technicalpickles,employee,21,0,null,null,null,"(1,30]",NA,NA,NA
1012,closed,alininja,volunter,technicalpickles,employee,77,2,18,0,59,"(30,180]","(1,30]",NA,"(30,180]"
1016,closed,michaelansel,volunter,michaelansel,volunter,0,0,null,null,null,NA,NA,NA,NA
1017,closed,kristenmills,volunter,michaelansel,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
1019,closed,bhuga,volunter,technicalpickles,employee,19,53,21,0,1,"(1,30]","(1,30]",NA,"(0,1]"
1020,closed,bhuga,volunter,michaelansel,volunter,9,0,null,null,null,"(1,30]",NA,NA,NA
1021,closed,bhuga,volunter,bhuga,volunter,98,6,40,56,0,"(30,180]","(30,180]","(30,180]",NA
1025,closed,sharabash,volunter,null,volunter,731,0,null,null,null,"(365,Inf]",NA,NA,NA
1028,closed,michaelansel,volunter,michaelansel,volunter,0,2,0,0,0,NA,NA,NA,NA
1029,closed,michaelansel,volunter,null,volunter,159,0,null,null,null,"(30,180]",NA,NA,NA
103,closed,djl,volunter,atmos,volunter,0,2,0,0,0,NA,NA,NA,NA
1030,closed,michaelansel,volunter,michaelansel,volunter,0,0,null,null,null,NA,NA,NA,NA
1031,closed,michaelansel,volunter,null,volunter,728,0,null,null,null,"(365,Inf]",NA,NA,NA
1032,closed,michaelansel,volunter,technicalpickles,employee,9,0,null,null,null,"(1,30]",NA,NA,NA
1037,closed,michaelansel,volunter,michaelansel,volunter,0,0,null,null,null,NA,NA,NA,NA
1038,closed,bhuga,volunter,bhuga,volunter,0,0,null,null,null,NA,NA,NA,NA
1039,closed,danielcompton,volunter,technicalpickles,employee,0,0,null,null,null,NA,NA,NA,NA
104,closed,victorcoder,volunter,atmos,volunter,0,0,null,null,null,NA,NA,NA,NA
1041,closed,davidkassa,volunter,technicalpickles,employee,40,0,null,null,null,"(30,180]",NA,NA,NA
1042,closed,xuoe,volunter,technicalpickles,employee,0,0,null,null,null,NA,NA,NA,NA
1043,closed,zitterbewegung,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1048,closed,bhuga,volunter,null,volunter,70,0,null,null,null,"(30,180]",NA,NA,NA
1049,closed,doque,volunter,michaelansel,volunter,0,0,null,null,null,NA,NA,NA,NA
1050,closed,scboucher,volunter,null,volunter,27,0,null,null,null,"(1,30]",NA,NA,NA
1054,closed,gregkare,volunter,null,volunter,119,0,null,null,null,"(30,180]",NA,NA,NA
1056,closed,brodul,volunter,null,volunter,773,0,null,null,null,"(365,Inf]",NA,NA,NA
106,closed,cldwalker,volunter,null,volunter,0,1,0,0,0,NA,NA,NA,NA
1065,closed,bhuga,volunter,null,volunter,99,0,null,null,null,"(30,180]",NA,NA,NA
1066,closed,CrazyPython,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1068,closed,scboucher,volunter,michaelansel,volunter,9,1,0,0,9,"(1,30]",NA,NA,"(1,30]"
1073,closed,Floby,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1074,closed,msabramo,volunter,michaelansel,volunter,0,1,0,0,0,NA,NA,NA,NA
1077,closed,scboucher,volunter,michaelansel,volunter,10,0,null,null,null,"(1,30]",NA,NA,NA
1081,closed,bhuga,volunter,technicalpickles,employee,69,0,null,null,null,"(30,180]",NA,NA,NA
1083,closed,bhuga,volunter,bhuga,volunter,0,0,null,null,null,NA,NA,NA,NA
1090,closed,heitorlessa,volunter,null,volunter,60,0,null,null,null,"(30,180]",NA,NA,NA
1091,closed,jtc9921,volunter,null,volunter,44,0,null,null,null,"(30,180]",NA,NA,NA
1092,closed,jbick,volunter,technicalpickles,employee,44,0,null,null,null,"(30,180]",NA,NA,NA
1094,closed,mdelagrange,volunter,technicalpickles,employee,35,0,null,null,null,"(30,180]",NA,NA,NA
1095,closed,kauffecup,volunter,technicalpickles,employee,40,0,null,null,null,"(30,180]",NA,NA,NA
1097,closed,ellisv,volunter,technicalpickles,employee,27,0,null,null,null,"(1,30]",NA,NA,NA
1099,closed,philnash,volunter,technicalpickles,employee,22,0,null,null,null,"(1,30]",NA,NA,NA
110,closed,mexitek,volunter,atmos,volunter,1,9,1,0,0,"(0,1]","(0,1]",NA,NA
1101,closed,cycomachead,volunter,technicalpickles,employee,21,0,null,null,null,"(1,30]",NA,NA,NA
1103,closed,aqnouch,volunter,technicalpickles,employee,7,0,null,null,null,"(1,30]",NA,NA,NA
1104,closed,pchaigno,volunter,null,volunter,7,0,null,null,null,"(1,30]",NA,NA,NA
1106,closed,gotchahn,volunter,bkeepers,employee,504,4,14,0,489,"(365,Inf]","(1,30]",NA,"(365,Inf]"
111,closed,OiNutter,volunter,atmos,volunter,0,0,null,null,null,NA,NA,NA,NA
1115,closed,pchaigno,volunter,null,volunter,590,0,null,null,null,"(365,Inf]",NA,NA,NA
1116,closed,jackmawer,volunter,technicalpickles,employee,7,0,null,null,null,"(1,30]",NA,NA,NA
1119,closed,sgerrand,volunter,technicalpickles,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
1122,closed,shaunkawano,volunter,technicalpickles,employee,0,0,null,null,null,NA,NA,NA,NA
1123,closed,xt0rted,volunter,technicalpickles,employee,32,0,null,null,null,"(30,180]",NA,NA,NA
1127,closed,jtc9921,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1128,closed,kossnocorp,volunter,null,volunter,555,0,null,null,null,"(365,Inf]",NA,NA,NA
113,closed,unixcharles,volunter,atmos,volunter,0,0,null,null,null,NA,NA,NA,NA
1130,closed,pra85,volunter,technicalpickles,employee,21,0,null,null,null,"(1,30]",NA,NA,NA
1134,closed,ajacksified,volunter,null,volunter,540,0,null,null,null,"(365,Inf]",NA,NA,NA
1135,closed,MonicaG,volunter,technicalpickles,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
1136,closed,MattHodge,volunter,null,volunter,546,2,0,0,546,"(365,Inf]",NA,NA,"(365,Inf]"
1142,closed,tuliomonteazul,volunter,null,volunter,433,1,0,413,19,"(365,Inf]",NA,"(365,Inf]","(1,30]"
1147,closed,KasperDeng,volunter,technicalpickles,employee,49,0,null,null,null,"(30,180]",NA,NA,NA
1148,closed,akameco,volunter,technicalpickles,employee,49,0,null,null,null,"(30,180]",NA,NA,NA
1149,closed,loafoe,volunter,technicalpickles,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
1150,closed,gasolin,volunter,bkeepers,employee,406,0,null,null,null,"(365,Inf]",NA,NA,NA
1151,closed,pchaigno,volunter,bkeepers,employee,406,5,0,0,404,"(365,Inf]",NA,NA,"(365,Inf]"
1154,closed,twellspring,volunter,null,volunter,531,1,0,434,97,"(365,Inf]",NA,"(365,Inf]","(30,180]"
1155,closed,chittunoo,volunter,null,volunter,426,2,2,423,0,"(365,Inf]","(1,30]","(365,Inf]",NA
1161,closed,twellspring,volunter,bkeepers,employee,397,2,119,0,278,"(365,Inf]","(30,180]",NA,"(180,365]"
1162,closed,gasolin,volunter,null,volunter,420,0,null,null,null,"(365,Inf]",NA,NA,NA
1164,closed,vinhlh,volunter,null,volunter,420,3,0,0,420,"(365,Inf]",NA,NA,"(365,Inf]"
1166,closed,MrSaints,volunter,technicalpickles,employee,24,0,null,null,null,"(1,30]",NA,NA,NA
117,closed,jasford,volunter,atmos,volunter,0,0,null,null,null,NA,NA,NA,NA
1171,closed,waydelyle,volunter,null,volunter,21,0,null,null,null,"(1,30]",NA,NA,NA
