id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
12235,closed,trop-devel[bot],bot,ckerr,employee,0,0,null,null,null,NA,NA,NA,NA
12236,closed,trop-devel[bot],bot,ckerr,employee,0,0,null,null,null,NA,NA,NA,NA
12243,closed,trop[bot],bot,null,volunter,0,1,0,0,0,NA,NA,NA,NA
12244,closed,trop[bot],bot,ckerr,employee,0,0,null,null,null,NA,NA,NA,NA
12247,closed,trop[bot],bot,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
12255,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12258,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12259,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12260,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12262,closed,trop[bot],bot,ckerr,employee,0,0,null,null,null,NA,NA,NA,NA
12279,closed,trop[bot],bot,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
12280,closed,trop[bot],bot,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
12286,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12287,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12289,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12292,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12298,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12299,closed,trop[bot],bot,MarshallOfSound,volunter,0,0,null,null,null,NA,NA,NA,NA
12313,closed,trop[bot],bot,ckerr,employee,0,0,null,null,null,NA,NA,NA,NA
12330,closed,trop[bot],bot,ckerr,employee,0,0,null,null,null,NA,NA,NA,NA
12331,closed,trop[bot],bot,ckerr,employee,0,0,null,null,null,NA,NA,NA,NA
12353,closed,trop[bot],bot,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
12356,closed,trop[bot],bot,ckerr,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
