id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
14298,open,as-cii,employee,null,volunter,null,1,0,365,null,NA,NA,"(180,365]",NA
14017,closed,nathansobo,employee,maxbrunsfeld,employee,20,6,381,0,360,"(1,30]","(365,Inf]",NA,"(180,365]"
14005,open,BinaryMuse,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
13767,closed,lee-dohm,employee,as-cii,employee,100,7,418,0,317,"(30,180]","(365,Inf]",NA,"(180,365]"
13747,open,lee-dohm,employee,null,volunter,null,4,11,0,null,NA,"(1,30]",NA,NA
13672,open,simurai,employee,null,volunter,null,1,0,20,null,NA,NA,"(1,30]",NA
13548,closed,lee-dohm,employee,lee-dohm,employee,22,3,21,0,0,"(1,30]","(1,30]",NA,NA
13459,open,maxbrunsfeld,employee,null,volunter,null,3,0,0,null,NA,NA,NA,NA
17001,open,smashwilson,employee,null,volunter,null,1,0,2,null,NA,NA,"(1,30]",NA
17000,open,smashwilson,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
13349,closed,lee-dohm,employee,maxbrunsfeld,employee,0,2,491,0,490,NA,"(365,Inf]",NA,"(365,Inf]"
13318,open,iolsen,employee,null,volunter,null,32,523,18,null,NA,"(365,Inf]","(1,30]",NA
13254,closed,as-cii,employee,as-cii,employee,116,17,498,0,382,"(30,180]","(365,Inf]",NA,"(365,Inf]"
13253,open,as-cii,employee,null,volunter,null,2,1,154,null,NA,"(0,1]","(30,180]",NA
13199,closed,lee-dohm,employee,Ben3eeE,volunter,64,1,0,507,442,"(30,180]",NA,"(365,Inf]","(365,Inf]"
13198,closed,lee-dohm,employee,Ben3eeE,volunter,64,16,500,7,442,"(30,180]","(365,Inf]","(1,30]","(365,Inf]"
13085,closed,nathansobo,employee,nathansobo,employee,0,3,523,0,523,NA,"(365,Inf]",NA,"(365,Inf]"
13076,closed,nathansobo,employee,nathansobo,employee,1,13,524,0,523,"(0,1]","(365,Inf]",NA,"(365,Inf]"
13073,closed,lee-dohm,employee,iolsen,employee,1,3,525,0,523,"(0,1]","(365,Inf]",NA,"(365,Inf]"
13025,open,iolsen,employee,null,volunter,null,2,0,9,null,NA,NA,"(1,30]",NA
13019,closed,simurai,employee,nathansobo,employee,14,4,532,0,517,"(1,30]","(365,Inf]",NA,"(365,Inf]"
12942,closed,iolsen,employee,iolsen,employee,0,2,539,0,539,NA,"(365,Inf]",NA,"(365,Inf]"
12940,closed,iolsen,employee,iolsen,employee,0,1,0,540,540,NA,NA,"(365,Inf]","(365,Inf]"
12938,closed,missinformed,employee,missinformed,employee,0,1,0,540,540,NA,NA,"(365,Inf]","(365,Inf]"
16898,closed,joshvera,employee,rsese,employee,0,1,0,0,0,NA,NA,NA,NA
12449,closed,nathansobo,employee,stale[bot],bot,391,3,589,0,198,"(365,Inf]","(365,Inf]",NA,"(180,365]"
12296,closed,iolsen,employee,maxbrunsfeld,employee,0,1,0,611,611,NA,NA,"(365,Inf]","(365,Inf]"
12182,closed,lee-dohm,employee,maxbrunsfeld,employee,6,22,628,0,622,"(1,30]","(365,Inf]",NA,"(365,Inf]"
12159,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,1,5,540,0,538,"(0,1]","(365,Inf]",NA,"(365,Inf]"
12157,open,lee-dohm,employee,null,volunter,null,36,579,0,null,NA,"(365,Inf]",NA,NA
11990,closed,nathansobo,employee,as-cii,employee,0,1,0,659,658,NA,NA,"(365,Inf]","(365,Inf]"
11974,closed,Nickismyname,employee,50Wliu,volunter,0,2,662,0,662,NA,"(365,Inf]",NA,"(365,Inf]"
11895,closed,Haacked,employee,Haacked,employee,1,8,672,0,670,"(0,1]","(365,Inf]",NA,"(365,Inf]"
11782,closed,jglovier,employee,50Wliu,volunter,0,5,689,0,689,NA,"(365,Inf]",NA,"(365,Inf]"
11673,closed,lee-dohm,employee,lee-dohm,employee,686,23,686,0,0,"(365,Inf]","(365,Inf]",NA,NA
11487,closed,iolsen,employee,stale[bot],bot,515,1,0,713,198,"(365,Inf]",NA,"(365,Inf]","(180,365]"
11396,closed,joshaber,employee,joshaber,employee,0,1,0,732,732,NA,NA,"(365,Inf]","(365,Inf]"
17326,closed,jasonrudolph,employee,jasonrudolph,employee,3,1,0,2,0,"(1,30]",NA,"(1,30]",NA
17325,closed,jasonrudolph,employee,jasonrudolph,employee,2,1,0,1,0,"(1,30]",NA,"(0,1]",NA
17323,open,daviwil,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
