id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1,closed,josh,employee,probablycorey,employee,1,0,null,null,null
10,closed,nathansobo,employee,null,volunter,124,0,null,null,null
100,closed,probablycorey,employee,null,volunter,104,27,1,0,102
1000,closed,mcolyer,employee,mcolyer,employee,4,2,0,2,1
10001,closed,svanharmelen,volunter,50Wliu,volunter,0,0,null,null,null
10004,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,2,0,0,0
1001,closed,probablycorey,employee,probablycorey,employee,2,8,2,0,0
10010,closed,CentricStorm,volunter,null,volunter,115,0,null,null,null
10017,closed,as-cii,employee,nathansobo,employee,0,0,null,null,null
10027,closed,nathansobo,employee,as-cii,employee,2,0,null,null,null
10028,closed,nathansobo,employee,as-cii,employee,2,0,null,null,null
10029,closed,puls,volunter,null,volunter,292,0,null,null,null
1003,closed,zcbenz,employee,zcbenz,employee,2,0,null,null,null
10031,closed,lee-dohm,employee,lee-dohm,employee,3,2,0,0,3
10034,closed,Areadrill,volunter,null,volunter,662,2,11,95,555
10035,closed,abe33,volunter,null,volunter,2,0,null,null,null
1004,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null
10055,closed,ysakasin,volunter,null,volunter,30,0,null,null,null
10062,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,0,null,null,null
10068,closed,lee-dohm,employee,lee-dohm,employee,34,0,null,null,null
10078,closed,bengotow,volunter,null,volunter,288,0,null,null,null
10084,closed,as-cii,employee,as-cii,employee,2,0,null,null,null
10085,closed,raelyard,volunter,null,volunter,75,10,10,19,45
10095,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,0,0,null,null,null
1011,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
1012,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null
10122,closed,paradoxxxzero,volunter,null,volunter,25,0,null,null,null
10126,closed,as-cii,employee,as-cii,employee,16,0,null,null,null
10139,closed,sparanoid,volunter,as-cii,employee,16,0,null,null,null
10145,open,50Wliu,volunter,null,volunter,null,6,403,51,null
10171,closed,kuychaco,employee,null,volunter,17,8,0,0,16
10178,closed,kuychaco,employee,nathansobo,employee,14,0,null,null,null
1018,closed,gjtorikian,employee,null,volunter,102,0,null,null,null
1019,closed,mcolyer,employee,mcolyer,employee,2,0,null,null,null
1020,closed,probablycorey,employee,probablycorey,employee,1,13,1,0,0
10200,closed,WelcometomyblogJoebravo,volunter,null,volunter,0,0,null,null,null
10208,closed,paulcbetts,volunter,null,volunter,382,0,null,null,null
1021,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
10219,closed,pimentel,volunter,lee-dohm,employee,35,0,null,null,null
10226,closed,danielbayley,volunter,benogle,volunter,26,0,null,null,null
1023,closed,mcolyer,employee,mcolyer,employee,0,0,null,null,null
10233,closed,joshaber,employee,joshaber,employee,5,0,null,null,null
10236,closed,joshaber,employee,joshaber,employee,5,0,null,null,null
10247,closed,joshaber,employee,joshaber,employee,0,0,null,null,null
10249,closed,joshaber,employee,joshaber,employee,3,0,null,null,null
10256,closed,leo,volunter,lee-dohm,employee,12,0,null,null,null
10257,closed,thisiskj,volunter,lee-dohm,employee,0,0,null,null,null
10265,closed,wampiedriessen,volunter,null,volunter,269,6,21,4,243
10277,closed,nathansobo,employee,nathansobo,employee,0,0,null,null,null
1028,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null
10280,closed,mnquintana,volunter,mnquintana,volunter,0,0,null,null,null
10282,closed,as-cii,employee,null,volunter,0,0,null,null,null
1029,closed,aroben,volunter,aroben,volunter,0,0,null,null,null
10292,closed,as-cii,employee,null,volunter,0,0,null,null,null
10293,closed,as-cii,employee,joshaber,employee,16,0,null,null,null
10296,closed,viatsko,volunter,joshaber,employee,0,0,null,null,null
10310,closed,kuychaco,employee,kuychaco,employee,0,0,null,null,null
1032,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null
10326,closed,raelyard,volunter,damieng,volunter,49,4,1,1,47
10327,closed,joshaber,employee,joshaber,employee,0,0,null,null,null
10328,closed,lee-dohm,employee,lee-dohm,employee,0,0,null,null,null
1033,closed,probablycorey,employee,probablycorey,employee,0,0,null,null,null
10332,closed,lee-dohm,employee,mnquintana,volunter,0,2,0,0,0
10333,closed,50Wliu,volunter,null,volunter,0,0,null,null,null
10334,closed,50Wliu,volunter,maxbrunsfeld,employee,0,0,null,null,null
10336,closed,50Wliu,volunter,maxbrunsfeld,employee,0,0,null,null,null
10341,closed,mnquintana,volunter,joshaber,employee,3,0,null,null,null
10349,closed,Tyriar,volunter,maxbrunsfeld,employee,2,0,null,null,null
1035,closed,mcolyer,employee,mcolyer,employee,3,0,null,null,null
10352,closed,thedaniel,volunter,joshaber,employee,5,3,0,3,2
10355,closed,ericdai,volunter,null,volunter,0,0,null,null,null
