id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
17375,open,bjce,volunter,null,volunter,null,1,0,0,null
17374,closed,M1k3Comm,volunter,M1k3Comm,volunter,0,4,0,0,0
17372,open,gautamkvashisht,volunter,null,volunter,null,9,1,0,null
17371,open,rakesh491,volunter,null,volunter,null,1,0,0,null
17370,open,karthanistyr,volunter,null,volunter,null,1,0,1,null
17369,open,harmloh,volunter,null,volunter,null,1,0,1,null
17368,closed,new3943,volunter,Arcanemagus,volunter,0,1,0,0,0
17367,open,aleenaimran,volunter,null,volunter,null,1,0,2,null
17365,closed,menon95,volunter,50Wliu,volunter,0,1,0,0,0
17364,open,chbk,volunter,null,volunter,null,2,0,2,null
17360,closed,BuZZ-dEE,volunter,rsese,employee,0,1,0,0,0
17359,closed,Letni1,volunter,rsese,employee,0,1,0,0,0
17358,closed,massic80,volunter,massic80,volunter,0,1,0,0,0
17357,open,shipanmazumder,volunter,null,volunter,null,2,0,0,null
17356,open,schu-r,volunter,null,volunter,null,6,4,0,null
17355,open,artm,volunter,null,volunter,null,2,0,0,null
17353,closed,LeaVerou,volunter,50Wliu,volunter,0,1,0,0,0
17352,open,mattcollier,volunter,null,volunter,null,5,0,0,null
17349,closed,siliconblade,volunter,rsese,employee,0,1,0,0,0
17348,closed,FelixB91,volunter,FelixB91,volunter,0,2,0,0,0
17347,closed,cedricspitzer,volunter,steveward,employee,0,1,0,0,0
17346,closed,cedricspitzer,volunter,steveward,employee,0,1,0,0,0
17101,closed,j24507,volunter,rsese,employee,0,4,12,0,12
17100,open,adityavm,volunter,null,volunter,null,2,0,1,null
17099,closed,allancth,volunter,rsese,employee,1,3,0,1,0
17098,closed,apollofernandes,volunter,rsese,employee,1,1,0,1,0
17097,closed,SreejithDeveloper,volunter,Arcanemagus,volunter,0,1,0,0,0
17096,closed,meeprakash25,volunter,Ben3eeE,volunter,0,1,0,0,0
17095,closed,Daijobou,volunter,Daijobou,volunter,3,3,0,3,0
17094,open,bidva,volunter,null,volunter,null,6,2,0,null
17093,closed,nosubstitute959,volunter,lee-dohm,employee,0,1,0,0,0
17092,closed,professorHugo,volunter,Arcanemagus,volunter,0,1,0,0,0
17091,closed,katymadier,volunter,Arcanemagus,volunter,0,1,0,0,0
17090,closed,ypossem,volunter,rsese,employee,0,1,0,0,0
17086,closed,Daijobou,volunter,rsese,employee,0,4,35,0,35
17085,closed,EnoraNedelec,volunter,lee-dohm,employee,0,1,0,0,0
17084,closed,bidva,volunter,lee-dohm,employee,0,1,0,0,0
17083,closed,unname123,volunter,Ben3eeE,volunter,0,1,0,0,0
17082,closed,greysonn,volunter,Ben3eeE,volunter,0,1,0,0,0
17081,closed,nyanzebra,volunter,rsese,employee,4,7,4,0,0
17080,closed,orschiro,volunter,orschiro,volunter,1,3,1,0,0
17079,closed,G2PCraft,volunter,Ben3eeE,volunter,0,4,30,0,30
17078,closed,matt3224,volunter,Arcanemagus,volunter,0,3,0,0,0
17077,closed,ocssor,volunter,lee-dohm,employee,0,1,0,0,0
17076,closed,WCat13,volunter,lee-dohm,employee,0,4,0,0,0
