id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
5425,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5426,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5428,closed,miniak,volunter,zcbenz,employee,0,0,null,null,null
5430,closed,deepak1556,volunter,zcbenz,employee,0,0,null,null,null
5431,closed,deepak1556,volunter,zcbenz,employee,0,0,null,null,null
5432,closed,stevekinney,volunter,zcbenz,employee,1,5,0,0,1
5436,closed,stevekinney,volunter,zcbenz,employee,0,0,null,null,null
544,closed,hokein,volunter,zcbenz,employee,0,0,null,null,null
5440,closed,bengotow,volunter,zcbenz,employee,1,0,null,null,null
5444,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5445,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5459,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5461,closed,zcbenz,employee,zcbenz,employee,2,0,null,null,null
5462,closed,zicai,volunter,zcbenz,employee,0,0,null,null,null
5466,closed,jlord,volunter,null,volunter,0,0,null,null,null
5471,closed,nickytonline,volunter,zcbenz,employee,0,2,0,0,0
5472,closed,juturu,volunter,null,volunter,0,0,null,null,null
5473,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
5474,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
5477,closed,danhp,volunter,zcbenz,employee,0,0,null,null,null
5479,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5480,closed,preco21,volunter,mnquintana,volunter,0,0,null,null,null
5481,closed,mpchadwick,volunter,null,volunter,0,0,null,null,null
5485,closed,preco21,volunter,zcbenz,employee,0,0,null,null,null
5486,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5487,closed,felixrieseberg,volunter,zcbenz,employee,0,0,null,null,null
5489,closed,felixrieseberg,volunter,zcbenz,employee,0,0,null,null,null
549,closed,cornedor,volunter,zcbenz,employee,0,0,null,null,null
5490,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5491,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5496,closed,deepak1556,volunter,zcbenz,employee,0,0,null,null,null
5500,closed,radarhere,volunter,zcbenz,employee,0,0,null,null,null
5501,closed,ecmadao,volunter,zcbenz,employee,0,0,null,null,null
5502,closed,anthonyryan1,volunter,zcbenz,employee,0,0,null,null,null
5503,closed,deepak1556,volunter,null,volunter,0,1,0,0,0
5504,closed,dalabarge,volunter,mnquintana,volunter,0,0,null,null,null
5508,closed,bengotow,volunter,zcbenz,employee,0,0,null,null,null
5509,closed,bengotow,volunter,zcbenz,employee,3,4,2,0,0
5513,closed,danhp,volunter,zcbenz,employee,0,0,null,null,null
5518,closed,danhp,volunter,zcbenz,employee,0,0,null,null,null
5519,closed,danhp,volunter,zcbenz,employee,0,0,null,null,null
552,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5522,closed,Wolfer,volunter,zcbenz,employee,1,0,null,null,null
5524,closed,paulcbetts,volunter,null,volunter,4,0,null,null,null
5525,closed,stanfieldr,volunter,zcbenz,employee,0,0,null,null,null
5526,closed,paulcbetts,volunter,zcbenz,employee,5,3,0,4,1
5530,closed,stevekinney,volunter,zcbenz,employee,0,0,null,null,null
5531,closed,kcrt,volunter,zcbenz,employee,0,0,null,null,null
5532,closed,stevekinney,volunter,zcbenz,employee,0,2,0,0,0
5533,closed,stevekinney,volunter,zcbenz,employee,0,5,0,0,0
5534,closed,kcrt,volunter,zcbenz,employee,0,0,null,null,null
