id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
514,closed,tombell,volunter,tombell,volunter,36,32,35,0,0
513,closed,tombell,volunter,tombell,volunter,4,4,0,0,3
511,closed,xfix,volunter,tombell,volunter,33,0,null,null,null
510,closed,brentc,volunter,tombell,volunter,0,15,0,0,0
507,closed,mcoquet,volunter,tombell,volunter,99,4,96,3,0
502,closed,duanefields,volunter,tombell,volunter,0,2,0,0,0
501,closed,exalted,volunter,tombell,volunter,0,6,0,0,0
499,closed,parkr,employee,parkr,employee,0,5,0,0,0
498,closed,almilo,volunter,tombell,volunter,0,1,0,0,0
495,closed,ChrisCinelli,volunter,tombell,volunter,7,8,27,0,20
494,closed,ChrisCinelli,volunter,ChrisCinelli,volunter,0,2,0,0,0
493,closed,brianjlandau,volunter,brianjlandau,volunter,0,3,420,0,420
488,closed,johndbritton,employee,atmos,volunter,0,7,0,0,0
487,closed,ChrisCinelli,volunter,atmos,volunter,1,1,0,1,0
486,closed,kylehotchkiss,volunter,atmos,volunter,0,1,0,0,0
485,closed,ChrisCinelli,volunter,tombell,volunter,1,9,12,0,11
484,closed,ChrisCinelli,volunter,tombell,volunter,1,3,0,0,0
480,closed,exalted,volunter,tombell,volunter,7,4,0,0,7
478,closed,rafaelfranca,volunter,tombell,volunter,0,2,0,0,0
477,closed,exalted,volunter,tombell,volunter,0,13,1,0,1
476,closed,hhaidar,volunter,tombell,volunter,14,19,14,0,0
474,closed,tombell,volunter,tombell,volunter,50,0,null,null,null
473,closed,BM5k,volunter,tombell,volunter,0,3,0,0,0
470,closed,wyaeld,volunter,wyaeld,volunter,0,2,0,0,0
468,closed,atmos,volunter,tombell,volunter,11,7,11,0,0
464,closed,ahawkins,volunter,tombell,volunter,0,0,null,null,null
463,closed,ahawkins,volunter,tombell,volunter,0,2,18,0,18
461,closed,omares,volunter,atmos,volunter,3,6,1,2,0
453,closed,luckow,volunter,tombell,volunter,0,1,0,0,0
444,closed,apolishch,volunter,atmos,volunter,4,6,4,0,0
443,closed,Schwolop,volunter,tombell,volunter,5,6,12,0,7
442,closed,technicalpickles,employee,tombell,volunter,183,11,183,0,0
441,closed,devinhalladay,volunter,tombell,volunter,9,3,2,0,7
440,closed,emarchak,volunter,tombell,volunter,2,1,0,0,2
439,closed,hemanth,volunter,hemanth,volunter,0,1,0,0,0
437,closed,phindmarsh,volunter,phindmarsh,volunter,0,7,23,0,23
433,closed,tombell,volunter,tombell,volunter,129,2,125,2,1
431,closed,wadewilliams,volunter,technicalpickles,employee,0,1,0,0,0
430,closed,drdamour,volunter,tombell,volunter,6,13,6,0,0
428,closed,maxgoedjen,volunter,maxgoedjen,volunter,0,45,0,0,0
427,closed,tony612,volunter,tombell,volunter,97,9,90,6,0
425,closed,pyro2927,volunter,tombell,volunter,4,10,2,1,0
420,closed,philippbeckmann,volunter,tombell,volunter,1,3,907,1,907
418,closed,timc3,volunter,tombell,volunter,0,2,0,0,0
417,closed,mplewis,volunter,tombell,volunter,1,2,1,0,0
416,closed,timc3,volunter,timc3,volunter,0,2,0,0,0
415,closed,hhaidar,volunter,tombell,volunter,1,9,471,0,470
413,closed,willowe,volunter,atmos,volunter,0,1,0,0,0
410,closed,ewilliam,volunter,tombell,volunter,1,9,1,0,0
409,closed,OleMchls,volunter,tombell,volunter,30,7,28,1,0
407,closed,frdmn,volunter,frdmn,volunter,0,1,0,0,0
405,closed,robweber,volunter,robweber,volunter,0,1,0,0,0
401,closed,aroben,volunter,tombell,volunter,0,3,0,0,0
400,closed,Iristyle,volunter,tombell,volunter,11,1,0,11,0
399,closed,Iristyle,volunter,tombell,volunter,83,23,83,0,0
398,closed,Iristyle,volunter,technicalpickles,employee,38,1,0,38,0
397,closed,stephenway,volunter,tombell,volunter,0,1,0,0,0
396,closed,Iristyle,volunter,tombell,volunter,12,12,13,0,1
395,closed,Iristyle,volunter,tombell,volunter,0,6,0,0,0
392,closed,atmos,volunter,atmos,volunter,0,6,0,0,0
391,closed,nebiros,volunter,atmos,volunter,0,4,0,0,0
389,closed,x1a0,volunter,tombell,volunter,0,1,0,0,0
382,closed,cdhunt,volunter,cdhunt,volunter,0,2,7,0,7
379,closed,kuno,volunter,tombell,volunter,15,1,0,0,15
374,closed,kwstannard,volunter,tombell,volunter,32,1,0,32,0
373,closed,tansaku,volunter,tombell,volunter,34,2,28,3,2
372,closed,parkr,employee,tombell,volunter,38,9,38,0,0
371,closed,numbcoder,volunter,atmos,volunter,39,2,28,0,11
369,closed,mikeys,volunter,atmos,volunter,0,1,0,0,0
368,closed,cjbottaro,volunter,atmos,volunter,10,4,10,0,0
367,closed,mikeys,volunter,technicalpickles,employee,0,2,0,0,0
366,closed,MattRogish,volunter,tombell,volunter,52,21,52,0,0
365,closed,mikeys,volunter,mikeys,volunter,0,2,0,0,0
363,closed,spdaly,volunter,tombell,volunter,71,3,45,6,20
362,closed,finbarleahy,volunter,tombell,volunter,77,0,null,null,null
360,closed,patcon,volunter,tombell,volunter,78,3,0,0,78
358,closed,gabebw,volunter,gabebw,volunter,2,8,2,0,0
357,closed,technicalpickles,employee,atmos,volunter,45,1,0,45,0
356,closed,cerw,volunter,technicalpickles,employee,9,1,0,9,0
354,closed,jkarmel,volunter,jkarmel,volunter,0,8,16,0,16
353,closed,buddylindsey,volunter,technicalpickles,employee,23,7,23,0,0
352,closed,andreivolt,volunter,tombell,volunter,108,17,104,2,1
351,closed,szechyjs,volunter,atmos,volunter,0,2,0,0,0
350,closed,renorzr,volunter,tombell,volunter,110,3,6,5,98
348,closed,kyleknighted,volunter,kyleknighted,volunter,12,2,12,0,0
347,closed,Fabryz,volunter,technicalpickles,employee,3,1,0,7,3
346,closed,bartoszrychlicki,volunter,technicalpickles,employee,8,3,5,2,0
343,closed,OleMchls,volunter,technicalpickles,employee,8,10,8,0,0
342,closed,trvrplk,volunter,tombell,volunter,136,13,232,12,108
340,closed,take,volunter,tombell,volunter,140,10,11,1,126
337,closed,peterhellberg,volunter,peterhellberg,volunter,13,5,2,12,1
333,closed,christaggart,volunter,christaggart,volunter,2,4,338,33,370
332,closed,adamesque,volunter,tombell,volunter,153,13,600,0,446
331,closed,kayue,volunter,tombell,volunter,0,1,0,0,0
329,closed,swood,volunter,tombell,volunter,2,5,608,0,605
