user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
smashwilson,false,0.12860545969611126,0.04202613958279681,0.13483453515323204,0.5566250321916044,0.13790883337625548
oggy,false,0.0,0.3,0.4,0.3,0.0
williambout,false,0.0,0.0,1.0,0.0,0.0
yomybaby,false,0.0,1.0,0.0,0.0,0.0
ungb,false,0.0,0.0,0.0,1.0,0.0
GeoffreyFrogeye,false,0.0,1.0,0.0,0.0,0.0
probablycorey-and-nathan,false,0.2093634144978296,0.06293198204072507,0.21728735460873994,0.44704435791866165,0.06337289093404376
kaiserfro,false,0.0,0.0,1.0,0.0,0.0
paulcbetts,false,0.22388059701492538,0.09724106739032112,0.07236544549977386,0.43283582089552236,0.17367706919945725
pimentel,false,0.0,0.0,0.0,0.0,1.0
coreylindsey,false,0.0,0.0,1.0,0.0,0.0
xfontes42,false,0.0,1.0,0.0,0.0,0.0
aki77,false,0.0,1.0,0.0,0.0,0.0
wrongway4you,false,0.0,1.0,0.0,0.0,0.0
Frozenfire92,false,0.0,0.5,0.5,0.0,0.0
rldaggie,false,0.0,0.0,0.0,0.0,1.0
g2p,false,0.0,1.0,0.0,0.0,0.0
lee-dohm,false,0.14867155290884104,0.1059322033898305,0.1331882730187815,0.2918231791113147,0.32038479157123223
n-riesco,false,0.0,0.0,0.0,1.0,0.0
a-moses,false,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
jaysonvirissimo,false,0.0,0.0,1.0,0.0,0.0
lgeiger,false,0.0,0.3333333333333333,0.06666666666666667,0.6,0.0
tnm,false,0.0,0.0,0.0,0.0,1.0
joliv,false,0.0,0.0,0.0,0.0,1.0
jssln,false,0.0,0.0,0.0,0.0,1.0
Bengt,false,0.5,0.10714285714285714,0.0,0.17857142857142858,0.21428571428571427
luca-moser,false,0.0,1.0,0.0,0.0,0.0
pborreli,false,0.0,1.0,0.0,0.0,0.0
ForNeVeR,false,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
probablycorey,false,0.131307408785284,0.08065980964377545,0.2748973581989175,0.37358476779720584,0.13955065557481725
stereobooster,false,0.3333333333333333,0.5,0.0,0.16666666666666666,0.0
mcolyer,false,0.1162046908315565,0.08186175350354455,0.16886264647458676,0.2476445610773969,0.38542634811291526
colelawrence,false,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
byronigoe,false,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333
jimgraham,false,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
maschs,false,0.24358974358974358,0.2948717948717949,0.1282051282051282,0.19230769230769232,0.14102564102564102
aaronraimist,false,0.0,0.0,1.0,0.0,0.0
lugrace,false,0.0,0.0,1.0,0.0,0.0
jgebhardt,false,0.0,0.0,1.0,0.0,0.0
aroben,false,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
fazlearefin,false,0.0,0.0,1.0,0.0,0.0
wyand,false,0.0,0.0,0.0,1.0,0.0
cs150bf,false,0.0,1.0,0.0,0.0,0.0
lexicalunit,false,0.0,0.0,1.0,0.0,0.0
envygeeks,false,0.4,0.0,0.5,0.1,0.0
krnowak,false,0.0,0.0,0.0,1.0,0.0
captbaritone,false,0.0,0.34615384615384615,0.15384615384615385,0.2692307692307692,0.23076923076923078
fenuks,false,0.0,1.0,0.0,0.0,0.0
tony612,false,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0
lstoll,false,0.0,0.0,0.0,1.0,0.0
dgm34,false,0.0,0.0,1.0,0.0,0.0
probablykevin,false,0.2430379746835443,0.06487341772151899,0.09778481012658227,0.5594936708860759,0.03481012658227848
alexchandel,false,0.0,0.0,0.0,1.0,0.0
Gaelan,false,1.0,0.0,0.0,0.0,0.0
grenade,false,1.0,0.0,0.0,0.0,0.0
Zirro,false,0.3333333333333333,0.0,0.16666666666666666,0.5,0.0
mrngoitall,false,0.0,1.0,0.0,0.0,0.0
kant,false,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
pietro909,false,0.0,1.0,0.0,0.0,0.0
lukecaputo,false,0.0,0.0,1.0,0.0,0.0
jessfraz,false,1.0,0.0,0.0,0.0,0.0
aaronhalford,false,0.0,0.0,1.0,0.0,0.0
ardeshirj,false,0.5833333333333334,0.0,0.25,0.0,0.16666666666666666
zertosh,false,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
klorenz,false,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
Xapphire13,false,0.0,0.0,0.0,0.4,0.6
Jonahss,false,1.0,0.0,0.0,0.0,0.0
stanfieldr,false,0.0,0.0,0.0,1.0,0.0
erfanio,false,0.0,0.0,1.0,0.0,0.0
fedorov,false,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
shama,false,0.21428571428571427,0.25,0.21428571428571427,0.03571428571428571,0.2857142857142857
kittens,false,0.0,0.0,1.0,0.0,0.0
bencolon,false,1.0,0.0,0.0,0.0,0.0
alexandershov,false,0.2,0.4,0.4,0.0,0.0
Caged,false,0.3090909090909091,0.18181818181818182,0.2727272727272727,0.21818181818181817,0.01818181818181818
scv119,false,0.35555555555555557,0.1111111111111111,0.4222222222222222,0.0,0.1111111111111111
steakknife,false,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
