user, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
0xbrt,0.0,0.0,1.0,0.0,0.0
jessegrosjean,1.0,0.0,0.0,0.0,0.0
minggo,0.3888888888888889,0.0,0.2777777777777778,0.2777777777777778,0.05555555555555555
lurch,0.0,1.0,0.0,0.0,0.0
leftstick,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
thomastuts,0.0,0.1871345029239766,0.3684210526315789,0.3333333333333333,0.1111111111111111
tensor5,0.0,0.0,1.0,0.0,0.0
simurai,0.0,0.26666666666666666,0.5333333333333333,0.2,0.0
veleek,0.0,0.0,1.0,0.0,0.0
soh1988,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
revi,0.0,1.0,0.0,0.0,0.0
kevva,1.0,0.0,0.0,0.0,0.0
bwin,0.0,0.0,1.0,0.0,0.0
alexeykuzmin,0.21060857210513853,0.11688373194411555,0.34127397584655456,0.2744968032204594,0.05673691688373195
darwin,0.0,0.0,1.0,0.0,0.0
ysagal,0.0,0.0,1.0,0.0,0.0
rreimann,0.1111111111111111,0.1388888888888889,0.0,0.7222222222222222,0.027777777777777776
Crocmagnon,0.0,0.0,1.0,0.0,0.0
makerGeek,0.0,0.0,1.0,0.0,0.0
Vehemos,0.0,0.0,1.0,0.0,0.0
mauriciofauth,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
gabriel,0.14285714285714285,0.38095238095238093,0.1523809523809524,0.26666666666666666,0.05714285714285714
fab1an,0.0,0.0,1.0,0.0,0.0
yoz,0.0,0.0,0.0,1.0,0.0
excfergodst,0.4380952380952381,0.0,0.13333333333333333,0.0,0.42857142857142855
suryast,1.0,0.0,0.0,0.0,0.0
JimiC,0.0,0.0,1.0,0.0,0.0
kirly-af,0.0,1.0,0.0,0.0,0.0
bnvk,0.0,0.0,1.0,0.0,0.0
sryze,0.0,1.0,0.0,0.0,0.0
owais,1.0,0.0,0.0,0.0,0.0
cjld,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
kanatapple,0.0,0.0,1.0,0.0,0.0
robinwassen,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
PeterDaveHello,0.0,0.0,0.0,1.0,0.0
billyct,0.0,0.0,0.0,1.0,0.0
swashcap,0.0,0.0,1.0,0.0,0.0
thorbenegberts,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
kevinsimper,0.0,0.0,1.0,0.0,0.0
bcomnes,0.0,0.4,0.2,0.4,0.0
dalinaum,0.0,0.0,0.0,0.0,1.0
seanballais,1.0,0.0,0.0,0.0,0.0
sotayamashita,0.2,0.0,0.8,0.0,0.0
markwylde,0.0,1.0,0.0,0.0,0.0
John-Lin,0.8727272727272727,0.12727272727272726,0.0,0.0,0.0
UsabilityEtc,0.0,0.0,0.09090909090909091,0.0,0.9090909090909091
frewsxcv,0.0,0.0,0.0,0.0,1.0
joe-re,0.0,0.0,0.0,1.0,0.0
waywardmonkeys,0.0,0.0,0.0,0.0,1.0
gmr,1.0,0.0,0.0,0.0,0.0
yibuyisheng,0.0,0.0,1.0,0.0,0.0
hugomano,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
davej,0.19047619047619047,0.42857142857142855,0.0,0.38095238095238093,0.0
